,link,title,company,Location,Salary,posted days
53,https://in.indeed.com/rc/clk?jk=dfc36d00d7281a68&bb=DSQ_ubbk29CSNKqu_5ihUX2oIknTsLSQWgmQ6qDwrgY_EnF7Ne1XuUUFWgvT9VEC&xkcb=SoA067M3GjBJ2tgH-70BbzkdCdPP&fccid=fd66a1619bfc9ad4&vjs=3,Data Science AI ML NLP Consultant,ChampionsIT,"Delhi, Delhi",NA,PostedPosted 30+ days ago
54,https://in.indeed.com/rc/clk?jk=46c05f5e4257bce1&bb=e1PeXp0M_BDmd_Vr0T_zxvWAl3_Sq2uzFLKtRRsVJp1UxuyeUz4ON9pEOG6QE56s&xkcb=SoBA67M3GjBJ2sAH-70KbzkdCdPP&fccid=bb06134d61a9b592&vjs=3,Data Scientist,Ank Aha,"New Delhi, Delhi",NA,PostedPosted 30+ days ago
55,https://in.indeed.com/rc/clk?jk=3a6bfdd558c2b182&bb=e1PeXp0M_BBo29um0YqBz0J1kB9hjPpI2Nchh4EUUjhto3--WVY-Vom1MddF-SYg&xkcb=SoBp67M3GjBJ2sAH-70IbzkdCdPP&fccid=d717c8b258b01ce6&vjs=3,Data Science Full Time Trainer,SkillCircle,"New Delhi, Delhi",NA,PostedPosted 30+ days ago
56,https://in.indeed.com/rc/clk?jk=7855e85ec28b9a17&bb=e1PeXp0M_BDaood02K6FQE17zhyIgYvl8wt2W9INJEQ-PM08MYECkmUFXtxBlT2p&xkcb=SoBT67M3GjBJ2sAH-70ObzkdCdPP&fccid=284b4a920ca3c3dd&vjs=3,Data Analytics (3),CIMMYT,"New Delhi, Delhi",NA,EmployerActive 26 days ago
57,https://in.indeed.com/rc/clk?jk=8486a2816ea4e29a&bb=vIBmMOQLRFQFiRZOHvKgQTR3GW6A8DU5AzbyxhlYC4JhzxW104uDY2kc1C3vxk3a&xkcb=SoAF67M3GjBJ2sgH-70KbzkdCdPP&fccid=5ef4d3df18d56a80&vjs=3,Data Scientist,itForte,"New Delhi, Delhi",NA,PostedPosted 30+ days ago
58,https://in.indeed.com/rc/clk?jk=1312cf23d6d9b860&bb=vIBmMOQLRFTjBYbEqLHdMVojTGaVzGjQGNVBGPBF-6HMv0MiFZqWAUF6jSLAKCx0&xkcb=SoCL67M3GjBJ2sgH-70NbzkdCdPP&fccid=bdad58a8df3ba8a4&vjs=3,Data Scientist,Crypto Mize,Delhi,NA,PostedPosted 30+ days ago
59,https://in.indeed.com/rc/clk?jk=dfed90c260eadcef&bb=vIBmMOQLRFQ0Ew1JqSX2qUAqbQaSn4ob-aq6rBtQ0iojj6smAhcSEdF58ml94i8q&xkcb=SoDW67M3GjBJ2sgH-70DbzkdCdPP&fccid=86f12495c4a932b5&cmp=Itrio-Technologies&ti=Senior+Data+Scientist&vjs=3,Opportunity for Senior Data Scientist (NLP)- Delhi Location,Itrio Technologies,"Delhi, Delhi","₹14,10,147.50 - ₹30,00,000.00 a year",EmployerActive 22 days ago
60,https://in.indeed.com/rc/clk?jk=efb05834d48a2135&bb=5p6OP0x9NmQmivlW_uddKfxPUgj3aVJRrb65Uo-6IJfkyZN9VRVTuDQM5AK5rNcz&xkcb=SoDr67M3GjBH7DgH_z0KbzkdCdPP&fccid=b95f9eb47968fa13&vjs=3,Global People Analytics Senior Analyst,Boston Consulting Group,"New Delhi, Delhi",NA,PostedPosted 30+ days ago
61,https://in.indeed.com/rc/clk?jk=1e3d67b9e914f885&bb=45WsT-HUe5jBl4RvsuRlCAODZA4Sns5BWV9AYr4HcNAHxrVYPeMxRx8rUFBelunP&xkcb=SoBl67M3GjBH7CAH_z0KbzkdCdPP&fccid=fd66a1619bfc9ad4&vjs=3,Data Science AI ML NLP Engineers,ChampionsIT,"Delhi, Delhi",NA,PostedPosted 30+ days ago
62,https://in.indeed.com/rc/clk?jk=9e84e2d2d89afdd5&bb=45WsT-HUe5g8RanOPaCUagGYzatQQCVh4mBcYk1JIh_Bq_1yOusETEkEwseoYxJH&xkcb=SoBM67M3GjBH7CAH_z0IbzkdCdPP&fccid=bebf9775d7d3bca8&vjs=3,Product Engineer II - Geospatial Data Science,"ESRI, Inc.","New Delhi, Delhi",NA,PostedPosted 30+ days ago
63,https://in.indeed.com/rc/clk?jk=847f29922c4db6f3&bb=aExrqWOeO13NFPBdEU4CGTEZJ5PWVs4dHWr8IeCvPHOdLE71J5V_TxVxNiZnrm6i&xkcb=SoCU67M3GjBH7CgH_z0LbzkdCdPP&fccid=bdad58a8df3ba8a4&vjs=3,Artificial Intelligence Developer,Crypto Mize,Delhi,NA,PostedPosted 30+ days ago
64,https://in.indeed.com/rc/clk?jk=8951ab965014705e&bb=mkRA_Ui07JJrS1sua08_xWvogdH20107wbfSyvoRzx8ugHEsN9SQTsx_LtWJt345&xkcb=SoC967M3GjBH7NAH_z0LbzkdCdPP&fccid=b95f9eb47968fa13&vjs=3,"Analyst, Geo Analytics - X Delivery",Boston Consulting Group,"New Delhi, Delhi",NA,PostedPosted 13 days ago
65,https://in.indeed.com/rc/clk?jk=74d52eb4db2991e0&bb=yInXRlQqA-WChGxNcmM6UlLDZBlMBEjfP11sljRDDbwACJ-79LyiMKJ312rplf-1&xkcb=SoBM67M3GjBH7NgH_z0KbzkdCdPP&fccid=e08122e0e993cc32&vjs=3,"Regional Data Scientist APAC - MD,FT COE",Bayer,"Delhi, Delhi",NA,PostedPosted 30+ days ago
